46.193.0.0/17,FR,,,
46.193.128.0/18,FR,,,
46.193.192.0/20,FR,,,
146.75.132.0/31,AF,,,
146.75.132.2/31,AL,,,
146.75.132.4/31,AL,AL-11,TIRANA,
146.75.132.6/31,AM,,,
146.75.132.8/31,AM,AM-ER,YEREVAN,
146.75.132.10/31,AT,,,
146.75.132.12/31,AT,AT-9,VIENNA,
146.75.132.14/31,AX,,,
146.75.132.16/31,AZ,,,
146.75.132.18/31,AZ,AZ-BA,BAKU,
146.75.132.20/31,BA,,,
146.75.132.22/31,BG,,,
146.75.132.24/31,BG,BG-22,SOFIA,
146.75.132.26/31,BI,,,
146.75.132.28/31,BY,,,
146.75.132.30/31,CH,,,
146.75.132.32/31,CH,CH-BE,BIEL/BIENNE,
146.75.132.34/31,CH,CH-GE,GENEVE,
146.75.132.36/31,CH,CH-VD,LAUSANNE,
146.75.132.38/31,CH,CH-ZH,ZURICH,
146.75.132.40/31,CY,,,
146.75.132.42/31,CY,CY-01,NICOSIA,
146.75.132.44/31,CZ,,,
146.75.132.46/31,CZ,CZ-10,PRAGUE,
146.75.132.48/31,CZ,CZ-32,PILSEN,
146.75.132.50/31,CZ,CZ-51,CESKA LIPA,
146.75.132.52/31,CZ,CZ-64,BRNO,
146.75.132.54/31,DE,,,
146.75.132.56/31,DE,DE-BE,BERLIN,
146.75.132.58/31,DE,DE-BW,STUTTGART,
146.75.132.60/31,DE,DE-BY,MUNICH,
146.75.132.62/31,DE,DE-BY,NUERNBERG,
146.75.132.64/31,DE,DE-HB,BREMEN,
146.75.132.66/31,DE,DE-HE,FRANKFURT AM MAIN,
146.75.132.68/31,DE,DE-HH,HAMBURG,
146.75.132.70/31,DE,DE-NI,HANNOVER,
146.75.132.72/31,DE,DE-NI,OLDENBURG,
146.75.132.74/31,DE,DE-NW,DUESSELDORF,
146.75.132.76/31,DE,DE-NW,KOELN,
146.75.132.78/31,DE,DE-SH,NORDERSTEDT,
146.75.132.80/31,DE,DE-SN,LEIPZIG,
146.75.132.82/31,DJ,,,
146.75.132.84/31,DK,,,
146.75.132.86/31,DK,DK-82,ARHUS,
146.75.132.88/31,DK,DK-82,HERNING,
146.75.132.90/31,DK,DK-82,SILKEBORG,
146.75.132.92/31,DK,DK-83,LUNDERSKOV,
146.75.132.94/31,DK,DK-84,COPENHAGEN,
146.75.132.96/31,DK,DK-84,TAASTRUP,
146.75.132.98/31,EE,,,
146.75.132.100/31,EE,EE-37,TALLINN,
146.75.132.102/31,EG,,,
146.75.132.104/31,ER,,,
146.75.132.106/31,ET,,,
146.75.132.108/31,FI,,,
146.75.132.110/31,FI,FI-18,ESPOO,
146.75.132.112/31,FI,FI-18,HELSINKI,
146.75.132.114/31,FI,FI-18,VANTAA,
146.75.132.116/31,GA,,,
146.75.132.118/31,GE,,,
146.75.132.120/31,GE,GE-TB,TBILISI,
146.75.132.122/31,GL,,,
146.75.132.124/31,GR,,,
146.75.132.126/31,GR,GR-B,THESSALONIKI,
146.75.132.128/31,GR,GR-I,ATHENS,
146.75.132.130/31,HR,,,
146.75.132.132/31,HR,HR-21,ZAGREB,
146.75.132.134/31,HU,,,
146.75.132.136/31,HU,HU-BU,BUDAPEST,
146.75.132.138/31,IL,,,
146.75.132.140/31,IL,IL-M,PETAH TIQWA,
146.75.132.142/31,IL,IL-TA,TEL AVIV,
146.75.132.144/31,IQ,,,
146.75.132.146/31,IR,,,
146.75.132.148/31,IR,IR-07,TEHRAN,
146.75.132.150/31,JO,,,
146.75.132.152/31,JO,JO-AM,AMMAN,
146.75.132.154/31,KE,,,
146.75.132.156/31,KE,KE-30,NAIROBI,
146.75.132.158/31,KG,,,
146.75.132.160/31,KW,,,
